batch_id,fecha_monitoreo,edad_cliente,capital_prestado,plazo_meses,puntaje_datacredito,huella_consulta,salario_cliente,total_otros_prestamos,cuota_pactada,cant_creditosvigentes,saldo_mora,saldo_principal,promedio_ingresos_datacredito,ratio_cuota_salario,tipo_laboral,tipo_credito,tendencia_ingresos_limpia,prob_no_pago,prediccion,prediccion_etiqueta
5,2026-09-24T20:11:02,40.0,7172394.977967097,5.0,835.0,1.0,22084437.84832858,903614.0,1032022.0,5.0,0.0,63968.0,1164107.0,0.05007394117759613,Empleado,4,Decreciente,0.19329855904764048,1,Paga a tiempo
5,2026-09-24T20:11:02,39.0,1607222.5885560587,11.0,697.0,4.0,3049867.61085368,59980.0,96086.0,10.0,0.0,82197.0,,0.05520512157684139,Empleado,7,Decreciente,0.4651908540394858,1,Paga a tiempo
5,2026-09-24T20:11:02,33.0,1864069.7626158507,11.0,834.0,5.0,3127263.4903431893,327139.0,145930.0,6.0,0.0,39899.0,1280595.0,0.06819200332251368,Independiente,9,,0.3099458544872995,1,Paga a tiempo
5,2026-09-24T20:11:02,45.0,2389763.4615601157,9.0,745.0,2.0,3882719.8995140647,1398266.0,205910.0,3.0,0.0,0.0,1128244.0,0.0653615825934393,Empleado,4,,0.3398508117653336,1,Paga a tiempo
5,2026-09-24T20:11:02,46.0,1125797.975720049,12.0,783.0,3.0,9284139.317062037,4990642.0,129163.0,8.0,0.0,188244.0,8478532.0,0.012627834515392143,Empleado,9,Decreciente,0.09486981188728649,1,Paga a tiempo
5,2026-09-24T20:11:02,57.0,1398632.2185178348,11.0,768.0,8.0,4664793.233451617,39943.0,89708.0,7.0,0.0,47244.0,1370037.0,0.03561188854041949,Independiente,4,Creciente,0.44805243798946415,1,Paga a tiempo
5,2026-09-24T20:11:02,29.0,1508068.0871401397,13.0,691.0,5.0,2051944.9789187545,884835.0,147243.0,6.0,0.0,12401.0,1113276.0,0.09028977896460168,Independiente,4,Creciente,0.5379887018219318,0,No paga a tiempo
5,2026-09-24T20:11:02,20.0,2406633.223959041,11.0,740.0,-0.0,2002563.8982686014,766667.0,203866.0,1.0,0.0,1892.0,,0.13013371246224592,Empleado,4,Decreciente,0.4063070806858172,1,Paga a tiempo
5,2026-09-24T20:11:02,56.0,1996074.701139847,6.0,813.0,3.0,6017986.502775826,1056982.0,298790.0,5.0,0.0,0.0,5698983.0,0.07382365579372038,Independiente,4,,0.4888221815350917,1,Paga a tiempo
5,2026-09-24T20:11:02,38.0,3235363.8178890385,9.0,647.0,4.0,5136465.375715636,2413111.0,341439.0,5.0,0.0,102626.0,,0.07091233885999129,Independiente,4,,0.5497134453919799,0,No paga a tiempo
5,2026-09-24T20:11:02,68.0,4695964.714944779,13.0,814.0,0.0,3206506.315098255,795258.0,366306.0,4.0,0.0,31838.0,1039989.0,0.1752358673224734,Independiente,4,Creciente,0.3319224635053143,1,Paga a tiempo
5,2026-09-24T20:11:02,47.0,4505900.456942732,13.0,779.0,10.0,6966440.056373813,1091995.0,381274.0,3.0,0.0,5722.0,1073625.0,0.06367351565229849,Empleado,10,Decreciente,0.6639254940356695,0,No paga a tiempo
5,2026-09-24T20:11:02,38.0,1220853.4264339635,1.0,739.0,10.0,5552586.873268643,2110215.0,319717.0,9.0,0.0,113345.0,959999.0,0.06387699703849764,Independiente,7,Decreciente,0.6365456768046559,0,No paga a tiempo
5,2026-09-24T20:11:02,47.0,1365037.014127974,2.0,727.0,10.0,5694687.397656109,2112253.0,517305.0,5.0,0.0,79398.0,1367139.0,0.0859458077669997,Empleado,4,Creciente,0.7077942449233531,0,No paga a tiempo
5,2026-09-24T20:11:02,30.0,1521534.1618334926,12.0,710.0,7.0,4031283.423509374,1208818.0,89802.0,9.0,0.0,60031.0,982605.0,0.04033490258378896,Empleado,4,Estable,0.5022613531485325,0,No paga a tiempo
5,2026-09-24T20:11:02,45.0,817627.4912957377,6.0,723.0,7.0,3653507.381745924,885008.0,48969.0,9.0,0.0,10365.0,0.0,0.03352700982133554,Empleado,10,Estable,0.6286306963193409,0,No paga a tiempo
5,2026-09-24T20:11:02,41.0,1950376.3014705253,12.0,821.0,5.0,2651353.0556166032,212927.0,209828.0,3.0,0.0,0.0,1970738.0,0.10274085006881022,Empleado,9,Creciente,0.2879710976285479,1,Paga a tiempo
5,2026-09-24T20:11:02,52.0,2361669.631396193,10.0,773.0,4.0,3443451.9664096725,1050840.0,228730.0,4.0,0.0,0.0,,0.07039505076030933,Independiente,4,Decreciente,0.3697175136141376,1,Paga a tiempo
5,2026-09-24T20:11:02,28.0,3368218.843300528,12.0,685.0,6.0,4880618.67859911,2114517.0,223819.0,5.0,0.0,9334.0,1364126.0,0.07103829162199948,Empleado,4,Creciente,0.5489107089486059,0,No paga a tiempo
5,2026-09-24T20:11:02,32.0,1432623.0462088734,10.0,800.0,0.0,2135297.0917071765,262770.0,144437.0,1.0,0.0,17522.0,1493641.0,0.08217001011979082,Independiente,68,Decreciente,0.534241175772973,0,No paga a tiempo
